2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	10.31
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	0
peerCount	102
governanceScore	5.76
environmentPercentile	0
animalTesting	False
tobacco	False
totalEsg	17.39
highestControversy	0
esgPerformance	LAG_PERF
coal	False
pesticides	False
adult	False
percentile	12.55
peerGroup	Software & Services
smallArms	False
environmentScore	1.32
governancePercentile	0
militaryContract	False
